,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
11626,0.146,9.0,4.0,JTUCX,0.02799,0.15083,0.29083,0.06304,0.23322,0.10988,0.1709
11649,0.1528,7.0,2.0,JUSMX,0.03066,0.15324,0.29463,0.06492,0.23682,0.10988,0.18316
11651,0.1492,3.0,1.0,JUSPX,0.02953,0.15178,0.29293,0.06445,0.23554,0.10988,0.17737
11652,0.151,3.0,1.0,JUSQX,0.02998,0.15252,0.29384,0.06464,0.23654,0.10988,0.1798
11654,0.1518,17.0,10.0,JUSSX,0.03068,0.15275,0.2941,0.06566,0.2362,0.10988,0.18195
11656,0.1516,3.0,1.0,JUSYX,0.03076,0.15263,0.29459,0.06513,0.23678,0.10988,0.18215
11696,0.0415,8.0,5.0,JYHIX,0.02726,0.01289,0.06219,0.0409,0.10766,0.04905,0.04782
11712,0.2115,2.0,0.0,KBIWX,0.08595,0.06869,0.17436,0.09118,0.18107,0.1637,0.13476
11750,0.0285,33.0,9.0,KHYAX,0.02389,0.00284,0.05472,0.04758,0.08721,0.04905,0.05937
11751,0.0238,21.0,5.0,KHYCX,0.02183,0.00092,0.05254,0.04539,0.08495,0.04905,0.05105
11752,0.0299,15.0,3.0,KHYIX,0.02446,0.00348,0.05526,0.04811,0.08765,0.04905,0.06178
11753,0.0301,4.0,2.0,KHYQX,0.02247,0.00556,0.05321,0.04824,0.09042,0.04905,0.06013
11754,0.0265,6.0,2.0,KHYRX,0.02305,0.00203,0.05391,0.04673,0.08635,0.04905,0.05597
11755,0.0297,6.0,2.0,KHYSX,0.02437,0.00335,0.05513,0.04797,0.08755,0.04905,0.06134
11756,0.0284,2.0,1.0,KHYTX,0.02381,0.00281,0.05461,0.04744,0.08702,0.04905,0.0592
11826,0.13835,13.0,5.0,IJSSX,0.03335,0.11536,0.28641,0.05025,0.2516,0.10988,0.16301
11827,0.06154,6.0,5.0,JDIRX,0.06745,0.04877,0.20955,0.078,0.18529,0.09303,0.15991
11828,-0.03532,4.0,1.0,JHEMX,0.03947,-0.04349,0.0845,0.01747,0.13136,0.05086,0.04621
11829,0.1809,3.0,2.0,JHERX,0.0413,0.1308,0.20567,0.02856,0.13132,0.02911,-0.00042
11839,0.1796,9.0,3.0,LADIX,0.09938,0.05504,0.13367,0.04833,0.21012,0.02911,0.00548
11881,0.0355,24.0,5.0,LANJX,0.02435,0.00191,0.03106,0.01778,0.02646,0.04539,0.04627
11934,0.0305,19.0,3.0,LBFAX,0.03972,-0.01373,0.05263,0.0273,0.06583,0.04842,0.01633
11937,0.1826,9.0,1.0,LBGAX,0.10169,0.03769,0.2003,0.11946,0.32178,0.39262,0.44621
11962,0.2192,7.0,3.0,LBWAX,0.05673,0.15049,0.14147,0.03995,0.14103,0.02911,-0.01721
11969,0.181,5.0,2.0,LCBDX,0.1003,0.05536,0.13341,0.04849,0.21056,0.02911,0.00624
12010,0.1729,16.0,2.0,LCIAX,0.08512,0.05898,0.13658,0.09467,0.21714,0.15827,0.20861
12013,0.1888,6.0,1.0,LCLAX,0.11459,0.05861,0.16228,0.14807,0.45401,0.39262,0.58288
12025,0.1471,6.0,4.0,LCOAX,0.06028,0.0874,0.2013,0.0956,0.16996,0.08609,0.05509
12197,0.001,14.0,3.0,LGBCX,0.01546,-0.01818,0.0344,0.01782,0.08351,0.08056,0.10608
12198,-0.0046,2.0,0.0,LGBFX,0.02202,-0.03338,0.05704,0.04351,0.06463,0.08348,0.08376
12199,0.008,5.0,2.0,LGBNX,0.01809,-0.0156,0.03687,0.02031,0.08624,0.08056,0.11742
12200,-0.0035,2.0,0.0,LGBOX,0.02208,-0.03235,0.0562,0.04371,0.06482,0.08348,0.08362
12201,-0.0065,2.0,0.0,LGBRX,0.02074,-0.03367,0.05475,0.04227,0.06332,0.08348,0.07747
12202,-0.006,2.0,0.0,LGBUX,0.02138,-0.03398,0.0564,0.04293,0.06398,0.08348,0.08118
12203,-0.0037,2.0,0.0,LGBVX,0.02201,-0.03247,0.05607,0.04357,0.06463,0.08348,0.08283
12204,-0.0035,2.0,0.0,LGBWX,0.02207,-0.03235,0.0562,0.0437,0.06482,0.08348,0.08361
12205,-0.0037,2.0,0.0,LGBYX,0.02202,-0.03247,0.05607,0.04358,0.06463,0.08348,0.08284
12217,-0.0093,2.0,0.0,LGFCX,0.01995,-0.03532,0.05492,0.04147,0.06252,0.08348,0.07517
12219,0.0361,7.0,4.0,LGGAX,0.06765,-0.03518,0.15287,0.08676,0.20645,0.25479,0.24544
12245,0.1699,7.0,1.0,LGNGX,0.07942,0.03818,0.14453,0.13095,0.30667,0.35862,0.38233
12246,0.1683,7.0,1.0,LGNHX,0.07906,0.03733,0.14377,0.13003,0.30734,0.35862,0.38006
12289,0.0128,18.0,2.0,LIBAX,0.01758,-0.01179,0.03076,0.02236,0.09029,0.08056,0.12029
12290,0.0081,14.0,4.0,LIBCX,0.01568,-0.01362,0.02884,0.0207,0.08829,0.08056,0.11105
12324,0.004,8.0,2.0,LIGAX,0.01674,-0.01687,0.03547,0.01896,0.08502,0.08056,0.11166
12330,0.0062,21.0,3.0,LIGRX,0.01733,-0.01627,0.03605,0.01954,0.08544,0.08056,0.11408
12336,0.0013,16.0,4.0,LIIAX,0.03215,-0.04088,0.03656,0.01721,0.1014,0.09243,0.1102
12353,0.0347,8.0,1.0,LINJX,0.02484,0.0005,0.03351,0.0183,0.02493,0.04539,0.04831
12431,0.2308,8.0,3.0,LMBAX,0.05216,0.2139,0.27607,0.03933,0.27516,0.10988,0.10994
12454,0.1216,8.0,3.0,LMEAX,0.04604,0.0614,0.14421,0.04502,0.1425,0.09303,0.03461
12504,0.1559,8.0,3.0,LMSAX,0.06922,0.1281,0.30066,0.04966,0.23392,0.10988,0.03238
12509,-0.0119,13.0,1.0,LMSMX,0.01722,-0.04942,0.00931,0.0357,0.04725,0.08056,0.12874
12521,0.0275,4.0,1.0,LNCAX,0.02705,-0.00756,0.03767,0.02337,0.06753,0.08856,0.05611
12523,0.0282,4.0,1.0,LNCIX,0.0278,-0.00693,0.03755,0.02407,0.06838,0.08856,0.05757
12526,0.0361,11.0,2.0,LNJFX,0.0246,0.00215,0.03132,0.01804,0.02671,0.04539,0.0473
12528,0.0615,4.0,1.0,LNOAX,0.04007,0.00979,0.06363,0.04027,0.09621,0.08856,0.08016
12530,0.0626,4.0,1.0,LNOIX,0.04053,0.01017,0.06311,0.0416,0.09634,0.08856,0.08204
12558,0.2138,68.0,23.0,LOMMX,0.03515,0.18649,0.11534,0.1144,0.20672,0.13511,0.08308
12637,0.1296,7.0,3.0,LRRAX,0.07993,0.02977,0.10763,0.05289,0.12711,0.0983,0.03503
12653,0.0339,25.0,4.0,LSBDX,0.04066,-0.01246,0.05346,0.02916,0.06745,0.04842,0.02136
12654,0.0336,5.0,2.0,LSBNX,0.04008,-0.01231,0.0545,0.02856,0.0677,0.04842,0.02209
12655,0.0319,21.0,3.0,LSBRX,0.03944,-0.0131,0.05307,0.02864,0.06626,0.04842,0.01886
12656,-0.0051,3.0,1.0,LSCDX,0.00727,-0.01978,0.00655,0.01012,0.04764,0.07522,0.06757
12658,0.26353,3.0,3.0,LMCLX,0.10212,0.1736,0.19495,0.08011,0.22299,0.11719,-0.02777
12668,-0.01382,20.0,2.0,LSDIX,0.00996,-0.01654,0.00839,0.01271,0.05027,0.03809,0.0774
12669,-0.01433,1.0,0.0,LSDNX,0.00914,-0.01644,0.00948,0.01191,0.0514,0.07522,0.07899
12671,-0.01698,9.0,1.0,LSDRX,0.00933,-0.01803,0.00864,0.01114,0.05058,0.03809,0.07567
12689,0.0344,3.0,1.0,LSHNX,0.02755,0.00523,0.08047,0.04728,0.11676,0.04905,0.0848
12692,0.0081,23.0,3.0,LSIGX,0.02591,-0.02429,0.04376,0.03835,0.0636,0.08056,0.07186
12693,0.0077,21.0,3.0,LSIIX,0.01796,-0.01569,0.03671,0.02018,0.08603,0.08056,0.1168
12699,0.0236,18.0,3.0,LSIZX,0.01443,0.00747,0.04924,0.03182,0.1031,0.03443,0.07435
12746,0.0075,11.0,1.0,LTEFX,0.00566,-0.00202,0.01053,0.00923,0.02524,0.02277,0.04255
12814,0.0021,16.0,3.0,LTXCX,0.00332,-0.00432,0.00814,0.00683,0.02286,0.02277,0.0328
12815,0.0059,16.0,3.0,LTXFX,0.00496,-0.00269,0.00987,0.00857,0.02455,0.02277,0.03979
12823,0.1625,3.0,2.0,LUEIX,0.1124,0.01232,0.1475,0.10714,0.15862,0.25479,0.26762
12824,0.1603,3.0,2.0,LUFIX,0.11105,0.01183,0.14579,0.10629,0.15771,0.25479,0.26379
12825,0.1629,3.0,2.0,LUISX,0.11285,0.0123,0.14745,0.10781,0.15948,0.25479,0.26927
12829,-0.014,16.0,2.0,LUTAX,0.01664,-0.04325,-0.00869,0.00073,0.00445,0.05647,0.07645
12830,-0.0177,14.0,4.0,LUTCX,0.01499,-0.0448,-0.01031,-0.00099,0.00272,0.05647,0.06918
12853,-0.002,6.0,2.0,LWAIX,0.00039,-0.00131,0.00541,0.0099,0.04618,0.01341,0.02456
12914,0.1133,41.0,6.0,MACPX,0.06341,0.02697,0.08251,0.06077,0.15516,0.11719,0.15416
12918,0.0378,18.0,13.0,MADCX,0.04696,0.05945,0.23943,0.06686,0.20464,0.17903,0.24533
12921,0.1593,26.0,6.0,MADVX,0.04376,0.11489,0.17394,0.02595,0.14032,0.02911,0.03926
12923,0.1582,10.0,5.0,MAEGX,0.09284,0.04164,0.15237,0.11818,0.17808,0.1296,0.21954
12924,0.1733,8.0,2.0,MAFGX,0.12917,0.00468,0.11321,0.11108,0.28849,0.35862,0.40471
12926,0.1448,16.0,4.0,MAFOX,0.12707,-0.0163,0.12987,0.12158,0.2949,0.35862,0.46839
12934,0.1948,22.0,10.0,MAGRX,0.08241,0.13281,0.23631,0.00237,0.23695,0.1637,0.03221
12942,0.098,15.0,8.0,MAIIX,0.05267,0.03474,0.15933,0.04572,0.16181,0.09303,0.08026
12944,0.1261,14.0,8.0,MAILX,0.04867,0.08994,0.18907,0.07884,0.26756,0.09303,0.21817
12946,-0.0332,6.0,3.0,MAINX,0.0109,-0.02689,0.05414,0.03737,0.10317,0.05086,0.0536
12955,0.0421,6.0,4.0,MALGX,0.0505,0.02242,0.2371,0.10146,0.20617,0.17903,0.20122
12957,0.0656,25.0,6.0,MALOX,0.04803,0.01752,0.1195,0.07633,0.14699,0.06177,0.21119
12959,-0.0059,14.0,12.0,MALTX,0.13157,-0.0583,0.33648,-0.03618,0.21038,-0.15392,-0.16957
12960,0.1981,15.0,6.0,MALVX,0.05864,0.11058,0.15308,0.05672,0.14711,0.02911,0.03888
12971,0.004,31.0,13.0,MAPCX,0.01756,0.04913,0.19596,0.06779,0.17289,0.29339,0.19843
12979,0.205,20.0,5.0,MARFX,0.04712,0.15708,0.24412,0.03461,0.19199,0.02633,0.07177
12988,0.1321,15.0,8.0,MASKX,0.04257,0.1265,0.31346,0.0493,0.25334,0.10988,0.1997
13054,0.0272,1.0,0.0,MBSAX,0.00325,0.03423,0.06568,0.03204,0.03064,0.04842,0.02638
13080,-0.0689,6.0,4.0,MCCGX,0.05982,-0.0199,0.1843,0.09157,0.19603,0.17903,0.28423
13084,0.0316,14.0,12.0,MCDCX,0.04436,0.05688,0.2361,0.06399,0.20146,0.17903,0.233
13086,0.1534,21.0,5.0,MCDVX,0.04104,0.11273,0.17052,0.02361,0.13785,0.02911,0.02918
13090,0.1506,10.0,5.0,MCEGX,0.08951,0.03851,0.14932,0.11549,0.1747,0.1296,0.20549
13095,0.166,17.0,6.0,MCFGX,0.12626,0.0021,0.11031,0.10815,0.28458,0.35862,0.38998
13097,0.14,15.0,5.0,MCFOX,0.12355,-0.01708,0.12752,0.11611,0.29448,0.35862,0.45099
13100,0.0879,5.0,2.0,MCGAX,0.06343,0.00676,0.1672,0.06792,0.32426,0.39262,0.29991
13104,0.1879,18.0,8.0,MCGRX,0.07938,0.12988,0.23266,-0.0007,0.23284,0.1637,0.02038
13109,0.1197,13.0,9.0,MCILX,0.04628,0.08744,0.18565,0.07588,0.26497,0.09303,0.20527
13129,0.0374,6.0,4.0,MCLGX,0.04889,0.02054,0.23556,0.09891,0.20357,0.17903,0.19263
13130,0.0594,20.0,6.0,MCLOX,0.04527,0.01461,0.11618,0.07431,0.14362,0.06177,0.19912
13132,-0.0132,14.0,12.0,MCLTX,0.12825,-0.06152,0.33203,-0.03918,0.20653,-0.15392,-0.18003
13133,0.1912,15.0,6.0,MCLVX,0.05602,0.10808,0.14965,0.05422,0.14426,0.02911,0.02819
13136,0.1903,5.0,2.0,MCMVX,0.03943,0.13824,0.17174,0.06333,0.20926,0.02633,0.13252
13147,-0.0015,17.0,9.0,MCPCX,0.01504,0.04642,0.19231,0.06506,0.16997,0.29339,0.18388
13150,-0.0381,3.0,1.0,MCRDX,0.00611,-0.02734,0.03604,0.03141,0.09154,0.05086,0.01795
13151,0.199,20.0,5.0,MCRFX,0.0447,0.15485,0.23998,0.03186,0.19002,0.02633,0.06062
13172,0.1796,5.0,1.0,MCVAX,0.05592,0.11944,0.23088,0.03766,0.20403,0.02633,0.03829
13173,0.1754,5.0,1.0,MCVCX,0.05456,0.11779,0.22895,0.03507,0.20179,0.02633,0.03012
13192,0.1802,5.0,3.0,MDCEX,0.0916,0.10323,0.19539,0.04178,0.19862,0.0983,-0.06149
13195,0.1118,22.0,4.0,MDCPX,0.06259,0.02632,0.08158,0.06024,0.15438,0.11719,0.15115
13197,0.0361,15.0,11.0,MDDCX,0.04628,0.05873,0.2387,0.066,0.20399,0.17903,0.24238
13201,0.1581,21.0,5.0,MDDVX,0.04333,0.11436,0.17263,0.02547,0.14017,0.02911,0.03636
13203,0.1575,10.0,5.0,MDEGX,0.09226,0.04097,0.15143,0.1173,0.17717,0.1296,0.21576
13204,0.1715,17.0,6.0,MDFGX,0.12844,0.0041,0.11249,0.11029,0.28777,0.35862,0.4009
13206,0.1431,16.0,4.0,MDFOX,0.12576,-0.01639,0.13076,0.11798,0.29612,0.35862,0.46435
13209,0.1928,18.0,8.0,MDGRX,0.08171,0.13161,0.23565,0.00152,0.23548,0.1637,0.02936
13217,0.066,11.0,5.0,MDIDX,0.04904,0.01777,0.13555,0.07865,0.17035,0.09303,0.1497
13218,0.0615,11.0,5.0,MDIFX,0.04754,0.01581,0.13317,0.07641,0.16898,0.09303,0.14138
13219,0.0615,11.0,5.0,MDIGX,0.04733,0.01559,0.13353,0.0764,0.16881,0.09303,0.1413
13220,0.0717,10.0,5.0,MDIHX,0.04946,0.01792,0.13502,0.07874,0.17048,0.09303,0.14984
13221,0.0967,15.0,8.0,MDIIX,0.05172,0.03429,0.15877,0.04443,0.16098,0.09303,0.07675
13222,0.0678,12.0,4.0,MDIJX,0.05014,0.01842,0.13624,0.07875,0.1715,0.09303,0.15242
13223,0.065,11.0,5.0,MDIKX,0.04865,0.01721,0.13429,0.07792,0.17021,0.09303,0.147
13224,0.1247,14.0,8.0,MDILX,0.04855,0.08924,0.18816,0.07785,0.26779,0.09303,0.21468
13225,0.067,10.0,5.0,MDIOX,0.04731,0.01587,0.13343,0.07614,0.16864,0.09303,0.14133
13227,0.0731,11.0,4.0,MDITX,0.0499,0.01848,0.13573,0.07953,0.17151,0.09303,0.1525
13229,0.0732,2.0,1.0,MDIZX,0.0501,0.0184,0.13647,0.07972,0.17209,0.09303,0.15427
13238,0.0638,21.0,5.0,MDLOX,0.04751,0.01672,0.11862,0.07588,0.14625,0.06177,0.20789
13240,-0.0075,16.0,13.0,MDLTX,0.13088,-0.05901,0.33493,-0.03669,0.20921,-0.15392,-0.17247
13241,0.1962,15.0,6.0,MDLVX,0.05813,0.10995,0.15231,0.05607,0.14612,0.02911,0.03619
13256,0.0032,17.0,9.0,MDPCX,0.01683,0.04881,0.19464,0.06745,0.1713,0.29339,0.19493
13260,0.2039,20.0,5.0,MDRFX,0.04655,0.15681,0.24233,0.03388,0.19205,0.02633,0.06847
13269,0.1303,15.0,8.0,MDSKX,0.04219,0.12552,0.31273,0.04874,0.25246,0.10988,0.19664
13286,-0.0646,6.0,4.0,MECGX,0.06231,-0.0184,0.18588,0.09389,0.19837,0.17903,0.29402
13327,-0.0124,15.0,10.0,MEMAX,0.0206,0.0263,0.1811,0.088,0.18146,0.17903,0.10167
13328,-0.0166,15.0,10.0,MEMBX,0.01866,0.02445,0.17893,0.086,0.17954,0.17903,0.09342
13329,-0.0167,14.0,10.0,MEMCX,0.01885,0.0242,0.17901,0.08595,0.17921,0.17903,0.09357
13330,-0.0136,7.0,5.0,MEMFX,0.02013,0.02574,0.18049,0.08719,0.18069,0.17903,0.09894
13331,-0.0124,7.0,5.0,MEMGX,0.02071,0.02617,0.18123,0.08789,0.18189,0.17903,0.10194
13332,-0.0109,7.0,5.0,MEMHX,0.02118,0.02693,0.18205,0.08865,0.18224,0.17903,0.10452
13333,-0.011,13.0,10.0,MEMIX,0.02145,0.02668,0.18213,0.08883,0.18189,0.17903,0.1047
13334,-0.0103,4.0,4.0,MEMJX,0.02168,0.02716,0.18257,0.08875,0.18299,0.17903,0.10606
13338,-0.0164,7.0,5.0,MEMRX,0.01882,0.02484,0.17878,0.08605,0.17909,0.17903,0.09329
13359,0.1329,17.0,7.0,MEURX,0.0442,0.07953,0.17146,0.00709,0.17733,0.0798,-0.06228
13364,-0.0047,8.0,2.0,MFACX,0.00403,-0.01465,0.00192,0.00289,0.01068,0.05647,0.0578
13366,-0.0007,9.0,1.0,MFAEX,0.00588,-0.01275,0.0042,0.00406,0.01325,0.05647,0.06601
13367,0.0009,9.0,1.0,MFAFX,0.00562,-0.01113,0.00395,0.00571,0.01394,0.05647,0.06894
13414,0.0829,2.0,0.0,MFHIX,0.03623,0.04329,0.09075,0.06518,0.10944,0.04905,0.07231
13416,0.0815,2.0,0.0,MFHVX,0.03568,0.04278,0.09022,0.06445,0.10895,0.04905,0.06864
13539,0.0717,19.0,6.0,MGIAX,0.06715,-0.01817,0.09884,0.08455,0.16582,0.25479,0.20146
13540,0.0673,19.0,6.0,MGIBX,0.06508,-0.01983,0.09676,0.08251,0.16358,0.25479,0.19247
13541,0.067,18.0,6.0,MGICX,0.06524,-0.02009,0.09677,0.08254,0.16389,0.25479,0.19252
13581,0.0789,17.0,8.0,MGRAX,0.06905,0.00612,0.11497,0.08931,0.16927,0.25479,0.15446
13582,0.0742,16.0,9.0,MGRBX,0.06707,0.00429,0.11286,0.0873,0.16708,0.25479,0.14566
13583,0.0742,15.0,9.0,MGRCX,0.06717,0.00417,0.11272,0.08761,0.16654,0.25479,0.14593
13584,0.0812,10.0,4.0,MGRDX,0.07013,0.00704,0.11578,0.09032,0.17031,0.25479,0.15819
13590,0.0774,8.0,4.0,MGRQX,0.06852,0.00544,0.11408,0.08878,0.16837,0.25479,0.15144
13591,0.0741,8.0,4.0,MGRRX,0.06718,0.00427,0.11282,0.08733,0.16698,0.25479,0.14576
13593,0.0789,9.0,3.0,MGRTX,0.06919,0.00594,0.115,0.08948,0.16896,0.25479,0.15451
13594,0.0805,9.0,3.0,MGRVX,0.06991,0.0068,0.1155,0.09006,0.16998,0.25479,0.15698
13601,0.0832,5.0,2.0,MGTCX,0.0619,0.00485,0.16437,0.06578,0.32282,0.39262,0.28887
13666,-0.0372,3.0,1.0,MICPX,0.00649,-0.02694,0.03676,0.032,0.09231,0.05086,0.0205
13725,0.044,6.0,4.0,MILGX,0.05143,0.02332,0.23795,0.10215,0.20649,0.17903,0.20465
13734,-0.0324,6.0,3.0,MINCX,0.01134,-0.0266,0.05482,0.03791,0.1039,0.05086,0.05598
13737,0.0703,10.0,2.0,MINFX,0.06651,-0.01877,0.09817,0.08388,0.16507,0.25479,0.19846
13738,0.0717,10.0,2.0,MINGX,0.06712,-0.01813,0.09903,0.08458,0.1659,0.25479,0.20151
13739,0.0733,10.0,2.0,MINHX,0.06778,-0.01756,0.0997,0.0852,0.1665,0.25479,0.20442
13740,0.0735,17.0,6.0,MINIX,0.0677,-0.01741,0.09942,0.08525,0.16675,0.25479,0.20439
13741,0.0741,11.0,3.0,MINJX,0.06809,-0.01716,0.09972,0.08553,0.16684,0.25479,0.20558
13744,0.0672,10.0,2.0,MINRX,0.06504,-0.01983,0.09669,0.08249,0.16383,0.25479,0.19231
13778,0.0686,9.0,1.0,MISHX,0.03428,0.02102,0.05343,0.03312,0.05347,0.05363,0.06232
13806,0.2064,2.0,0.0,MJRFX,0.04756,0.15766,0.24397,0.03476,0.19224,0.02633,0.07202
13808,0.1136,2.0,0.0,MKCPX,0.06379,0.02697,0.08279,0.06107,0.15516,0.11719,0.15479
13809,0.0379,2.0,0.0,MKDCX,0.04694,0.05943,0.23963,0.06693,0.20453,0.17903,0.24612
13810,0.1606,3.0,1.0,MKDVX,0.04406,0.1155,0.17414,0.02628,0.14083,0.02911,0.04009
13812,0.1451,1.0,0.0,MKFOX,0.12828,-0.01628,0.1314,0.11966,0.29712,0.35862,0.46746
13816,0.1262,2.0,0.0,MKILX,0.04909,0.08994,0.1894,0.07909,0.26756,0.09303,0.21879
13818,0.0659,3.0,1.0,MKLOX,0.0485,0.01753,0.11977,0.0769,0.14708,0.06177,0.21275
13819,-0.0053,1.0,1.0,MKLTX,0.13186,-0.05812,0.33657,-0.03614,0.21012,-0.15392,-0.1695
13935,0.1983,2.0,0.0,MLVKX,0.05895,0.11058,0.15339,0.05654,0.14758,0.02911,0.03939
13941,0.377,2.0,4.0,MLXAX,0.20252,0.20442,0.19739,-0.08885,0.38937,-0.23341,-0.27855
13942,0.3705,2.0,4.0,MLXCX,0.19978,0.20237,0.19524,-0.0907,0.3858,-0.23341,-0.28291
13943,0.3793,2.0,4.0,MLXIX,0.20244,0.20609,0.19744,-0.08794,0.39002,-0.23341,-0.27645
14209,0.0061,5.0,1.0,MNWAX,0.01239,-0.01482,-0.01222,0.00432,0.02207,0.07887,0.02846
14210,0.0018,5.0,1.0,MNWBX,0.01005,-0.01707,-0.0133,0.00267,0.01902,0.07887,0.02016
14211,0.0018,5.0,1.0,MNWCX,0.01011,-0.01716,-0.01344,0.00178,0.02002,0.07887,0.02017
14212,0.007,5.0,1.0,MNWIX,0.01235,-0.01477,-0.01052,0.00517,0.02113,0.07887,0.03105
14213,0.0018,5.0,1.0,MNWRX,0.01005,-0.01707,-0.0133,0.00178,0.01993,0.07887,0.02016
14214,0.0044,5.0,1.0,MNWSX,0.01157,-0.01576,-0.01211,0.00347,0.02128,0.07887,0.02606
14215,0.0061,5.0,1.0,MNWTX,0.01237,-0.0148,-0.01204,0.00432,0.02116,0.07887,0.02773
14216,0.007,5.0,1.0,MNWUX,0.01323,-0.01477,-0.01084,0.00517,0.02203,0.07887,0.03071
14217,0.0078,3.0,0.0,MNWZX,0.01233,-0.0139,-0.01122,0.00517,0.02201,0.07887,0.0312
14270,0.0041,2.0,0.0,MPCKX,0.01758,0.04918,0.19594,0.06718,0.17302,0.29339,0.19768
14338,0.0804,16.0,7.0,MQGIX,0.06984,0.00672,0.11554,0.09026,0.16963,0.25479,0.15725
14339,0.0856,33.0,7.0,MQIFX,0.02762,0.06086,0.13135,0.02694,0.09191,0.06177,-0.01832
14360,0.109,14.0,3.0,MRBPX,0.06188,0.02512,0.08075,0.05914,0.15302,0.11719,0.1468
14373,0.1558,14.0,3.0,MRDVX,0.04204,0.11356,0.17175,0.02492,0.13889,0.02911,0.03329
14375,0.1541,8.0,5.0,MREGX,0.0912,0.03979,0.15075,0.11714,0.17557,0.1296,0.21185
14381,0.169,8.0,2.0,MRFGX,0.12746,0.00318,0.11158,0.10976,0.28661,0.35862,0.39715
14422,0.0619,13.0,4.0,MRLOX,0.04649,0.01574,0.11756,0.07525,0.14501,0.06177,0.2043
14426,0.1945,13.0,4.0,MRLVX,0.05735,0.10954,0.15136,0.05566,0.14548,0.02911,0.03356
14440,0.0001,12.0,5.0,MRPCX,0.01634,0.04723,0.19393,0.06625,0.17056,0.29339,0.19043
14442,0.2022,13.0,4.0,MRRFX,0.04639,0.15586,0.24172,0.03308,0.1906,0.02633,0.06595
14517,0.1572,11.0,3.0,MSDVX,0.04318,0.11392,0.17307,0.02526,0.13985,0.02911,0.03643
14556,-0.0094,4.0,1.0,MSGVX,0.00738,-0.02439,-0.00203,0.00382,0.02136,0.07522,0.04693
14631,0.0118,2.0,0.0,MSTBX,0.00859,-0.00042,0.00944,0.00808,0.02104,0.03809,0.04746
14634,0.0798,2.0,0.0,MSTFX,0.0423,0.05206,0.22397,0.04167,0.18372,0.09303,0.08991
14635,0.0845,2.0,0.0,MSTGX,0.04928,0.02865,0.10845,0.02579,0.11355,0.06177,0.03926
14638,-0.0084,2.0,0.0,MSTMX,0.02798,-0.03311,0.07079,0.02729,0.091,0.04842,0.06451
14640,0.0184,2.0,0.0,MSTPX,0.01356,-0.00129,0.01878,0.01275,0.02333,0.04507,0.04025
14641,0.1876,2.0,0.0,MSTQX,0.07951,0.09548,0.17067,0.04935,0.23048,0.15827,0.10493
14642,-0.0065,2.0,0.0,MSTRX,0.0223,-0.03854,0.01557,0.01567,0.06051,0.07522,0.09573
14643,0.0871,2.0,0.0,MSTSX,0.04831,0.03873,0.15902,0.02854,0.13673,0.06177,0.09397
14645,0.0277,2.0,0.0,MSTVX,0.01505,0.01625,0.01848,0.01929,0.05279,0.01632,0.03813
14749,0.0352,1.0,0.0,MUNAX,0.0202,0.01247,0.04234,0.01051,0.0193,0.0345,0.07361
14750,0.0326,1.0,0.0,MUNCX,0.01927,0.0123,0.04244,0.00951,0.01724,0.0345,0.07371
14752,0.0365,1.0,0.0,MUNIX,0.02175,0.01299,0.04244,0.00951,0.01938,0.0345,0.07597
14766,0.1615,57.0,14.0,MUTHX,0.05558,0.10817,0.17593,0.02703,0.11548,0.15414,-0.04338
14795,0.1816,5.0,1.0,MVTIX,0.05723,0.11997,0.23202,0.03962,0.20477,0.02633,0.04183
14796,0.1827,3.0,1.0,MVTRX,0.05673,0.12153,0.23214,0.03822,0.20548,0.02633,0.04234
14888,0.0027,2.0,0.0,MXEEX,0.00512,-0.00392,0.00413,0.00649,0.05311,0.03809,0.03426
14915,-0.0004,2.0,0.0,MXGDX,0.00473,-0.00597,0.00201,0.00528,0.05188,0.03809,0.02818
14933,0.0337,18.0,4.0,MXIIX,0.02689,-0.0004,0.04254,0.02794,0.0835,0.04842,0.08149
15026,0.0594,4.0,1.0,NAARX,0.03394,0.0156,0.05329,0.02417,0.07097,0.08856,0.08398
15035,0.1465,34.0,13.0,NAESX,0.05569,0.10191,0.27053,0.05762,0.26649,0.10988,0.18964
15056,0.0833,4.0,1.0,NBARX,0.04238,0.03202,0.06903,0.0303,0.08398,0.11719,0.07412
15057,0.0784,4.0,1.0,NBCRX,0.04072,0.0298,0.06717,0.02859,0.08349,0.11719,0.06767
15077,0.1212,19.0,5.0,NBMBX,0.07555,0.02184,0.19356,0.09541,0.30189,0.39262,0.38967
15079,0.1243,11.0,2.0,NBMLX,0.07647,0.02292,0.19545,0.09637,0.30411,0.39262,0.39709
15080,-0.0006,16.0,6.0,NBMOX,0.00899,0.02055,0.25058,0.10288,0.303,0.38623,0.42637
15082,0.1228,21.0,6.0,NBMTX,0.07575,0.02264,0.19483,0.09592,0.30211,0.39262,0.39296
15083,-0.0014,15.0,3.0,NBMVX,0.00886,0.0201,0.25018,0.10259,0.30223,0.38623,0.42428
15106,0.0015,10.0,2.0,NBSMX,0.00992,0.02153,0.25164,0.10416,0.30429,0.38623,0.43196
15114,-0.0063,16.0,3.0,NCBDX,0.01542,-0.02721,0.00782,0.00688,0.0445,0.07522,0.05989
