,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
901,0.0515,7.0,3.0,ANBIX,0.02057,0.00779,0.02739,0.04154,0.07542,0.10007,0.09347
907,0.0685,6.0,2.0,ANDIX,0.04863,0.00968,0.11653,0.04686,0.13321,0.09303,0.08444
908,0.0668,6.0,2.0,ANDNX,0.04762,0.00935,0.11512,0.04605,0.13304,0.09303,0.08179
959,0.0303,21.0,6.0,ANYCX,0.02092,0.00254,0.02835,0.01365,0.0215,0.03481,0.02633
996,0.0465,5.0,1.0,APDFX,0.02426,0.02238,0.07801,0.05703,0.1218,0.04905,0.10202
999,0.0765,3.0,2.0,APDIX,0.05983,0.0029,0.08904,0.07506,0.16807,0.25479,0.07722
1000,0.061,2.0,0.0,APDJX,0.07385,-0.01378,0.17919,0.13177,0.26904,0.28395,0.33109
1001,0.1529,4.0,1.0,APDKX,0.06254,0.08365,0.21819,0.05145,0.16972,0.09303,0.08702
1002,0.216,4.0,1.0,APDLX,0.07814,0.10764,0.20051,0.08414,0.19227,0.02911,0.10906
1003,0.1211,3.0,2.0,APDMX,0.10461,-0.02323,0.16874,0.11953,0.37309,0.39262,0.58979
1006,-0.0114,3.0,0.0,APDSX,0.04396,-0.04989,0.27138,0.08579,0.37318,0.38623,0.61189
1007,0.1253,2.0,0.0,APDTX,0.05382,0.0226,0.1453,0.0994,0.20317,0.35862,0.29881
1008,-0.0143,4.0,1.0,APDYX,0.09603,-0.02519,0.20097,0.18911,0.38407,0.17903,0.81518
1019,0.0481,3.0,1.0,APHFX,0.02448,0.02365,0.07717,0.05723,0.12213,0.04905,0.10206
1022,0.0771,14.0,9.0,APHIX,0.0596,0.00345,0.08923,0.07507,0.16863,0.25479,0.07815
1023,0.0609,3.0,1.0,APHJX,0.07404,-0.01363,0.1796,0.13234,0.26863,0.28395,0.33313
1024,0.1535,8.0,6.0,APHKX,0.06272,0.08404,0.21842,0.05153,0.17008,0.09303,0.08809
1025,0.2164,7.0,2.0,APHLX,0.07869,0.10748,0.2007,0.08392,0.19291,0.02911,0.11026
1026,0.1218,14.0,6.0,APHMX,0.10518,-0.02303,0.16895,0.11971,0.37369,0.39262,0.59095
1028,0.1974,6.0,2.0,APHQX,0.03661,0.15167,0.22331,0.05729,0.25285,0.02633,0.05617
1030,-0.0106,7.0,1.0,APHSX,0.0441,-0.04951,0.27151,0.08627,0.37304,0.38623,0.61313
1032,-0.0135,4.0,1.0,APHYX,0.09635,-0.02471,0.20106,0.18945,0.38412,0.17903,0.81644
1033,0.0088,6.0,1.0,APIBX,0.00597,-0.00068,0.01154,0.01906,0.04275,0.03809,0.02915
1036,0.0447,5.0,5.0,APIIX,0.02717,0.00823,0.04705,0.04914,0.08574,0.04842,-0.01504
1038,0.0094,16.0,7.0,APIMX,0.00638,-0.00073,0.01232,0.01777,0.04293,0.03809,0.03114
1042,0.041,14.0,9.0,APIUX,0.02529,0.00751,0.04603,0.04706,0.08405,0.04842,-0.01981
1079,-0.0166,5.0,5.0,AQMIX,-0.01607,0.03057,0.01794,-0.02518,-0.02797,0.02826,-0.00411
1080,-0.018,5.0,5.0,AQMNX,-0.01748,0.02956,0.01645,-0.02564,-0.02847,0.02826,-0.00597
1081,-0.0165,2.0,4.0,AQMRX,-0.01605,0.03053,0.01777,-0.02512,-0.02791,0.02826,-0.00303
1096,0.2978,4.0,4.0,ARCIX,0.18048,0.09197,0.20716,0.12922,0.07249,-0.03086,0.08149
1098,0.2963,4.0,4.0,ARCNX,0.1791,0.09185,0.20654,0.12903,0.07127,-0.03086,0.08106
1104,0.1631,2.0,2.0,ARDGX,0.0547,0.08839,0.10021,0.02642,0.10192,0.02911,-0.07582
1148,0.0199,7.0,2.0,ARINX,0.01045,0.00424,0.01844,0.01821,0.04404,0.08056,0.04286
1155,-0.0018,25.0,3.0,ARMGX,0.00049,-0.00124,0.00559,0.00912,0.04489,0.01341,0.00798
1157,0.0052,6.0,0.0,ARMLX,0.00293,0.00243,0.00816,0.01165,0.04708,0.01341,0.01763
1159,0.0023,21.0,2.0,ARMZX,0.00219,0.00058,0.00851,0.01089,0.04631,0.01341,0.01567
1178,0.0189,4.0,2.0,ARSSX,0.01764,-0.00131,0.03026,0.0278,0.0957,0.04905,0.07264
1184,0.0454,5.0,1.0,ARTFX,0.02487,0.02188,0.07764,0.05556,0.12127,0.04905,0.09965
1187,0.0757,16.0,9.0,ARTIX,0.05935,0.00289,0.08867,0.07456,0.16762,0.25479,0.07558
1188,0.0596,13.0,6.0,ARTJX,0.07343,-0.01428,0.17883,0.13194,0.26843,0.28395,0.33002
1189,0.1522,12.0,6.0,ARTKX,0.06199,0.08352,0.21766,0.05105,0.16897,0.09303,0.08522
1190,0.2149,11.0,3.0,ARTLX,0.07773,0.10781,0.19996,0.0829,0.19127,0.02911,0.10635
1194,0.1958,15.0,4.0,ARTQX,0.03562,0.1512,0.22305,0.05722,0.25142,0.02633,0.05444
1195,-0.0121,20.0,5.0,ARTSX,0.04364,-0.0502,0.27072,0.08574,0.37256,0.38623,0.61003
1196,-0.0151,4.0,1.0,ARTYX,0.09561,-0.02575,0.20055,0.18873,0.3834,0.17903,0.81225
1197,0.0454,7.0,5.0,ARTZX,0.07323,0.00917,0.21796,0.10968,0.21764,0.17903,0.20764
1216,-0.0068,10.0,4.0,ASBCX,-0.00289,-0.00397,-0.00016,0.00138,0.00998,0.03809,0.02805
1217,-0.0026,13.0,1.0,ASBFX,-0.00088,-0.00208,0.0021,0.00209,0.01157,0.03809,0.03534
1225,0.0048,6.0,0.0,ASDAX,0.0023,0.00225,0.00762,0.01003,0.04492,0.01341,0.01802
1230,0.0052,6.0,0.0,ASDIX,0.00272,0.00182,0.0082,0.01183,0.04531,0.01341,0.0215
1246,0.1406,7.0,1.0,ASGTX,0.06742,0.05256,0.24796,0.05732,0.28163,0.38623,0.3174
1274,0.1214,8.0,3.0,ASMOX,0.06469,0.11102,0.25901,0.07987,0.27061,0.38623,0.2642
1297,0.0029,10.0,1.0,ASTFX,0.00256,-0.0011,0.00316,0.0066,0.01786,0.02277,0.03043
1298,0.0892,8.0,3.0,ASTIX,0.05532,0.02292,0.09125,0.02669,0.053,0.0983,0.02423
1299,0.0874,7.0,2.0,ASTLX,0.05481,0.02227,0.09123,0.02562,0.05249,0.0983,0.02145
1350,0.0374,4.0,1.0,ATLAX,0.02563,0.00447,0.07618,0.0266,0.06001,0.07522,0.06217
1351,0.0304,4.0,1.0,ATLCX,0.02156,0.00224,0.07402,0.0246,0.05751,0.07522,0.05272
1380,-0.0142,10.0,4.0,AUBAX,0.01504,-0.04261,0.03635,0.02732,0.0442,0.08348,0.09365
1381,-0.0176,10.0,4.0,AUBCX,0.01318,-0.04454,0.03449,0.02547,0.04137,0.08348,0.08628
1382,-0.0118,4.0,4.0,AUBFX,0.01661,-0.04201,0.03699,0.02796,0.04384,0.08348,0.09623
1383,-0.012,10.0,4.0,AUBIX,0.01481,-0.04144,0.03628,0.02715,0.04407,0.08348,0.09369
1384,-0.0118,8.0,4.0,AUBYX,0.01569,-0.04205,0.03703,0.02798,0.04388,0.08348,0.09627
1385,0.1475,7.0,1.0,AUEIX,0.07544,0.03274,0.08188,0.08836,0.17896,0.15827,0.13098
1386,0.1458,7.0,1.0,AUENX,0.07484,0.03203,0.0811,0.08816,0.17829,0.15827,0.1284
1390,0.1747,21.0,6.0,AUIAX,0.07055,0.07881,0.11924,0.06404,0.14646,0.02911,0.04202
1391,0.1689,21.0,6.0,AUICX,0.06832,0.07649,0.11764,0.0618,0.14429,0.02911,0.03418
1402,0.0541,8.0,2.0,AUNAX,0.01907,0.01929,0.03155,0.0377,0.04293,0.02277,0.04323
1403,0.0498,8.0,2.0,AUNCX,0.01721,0.01751,0.02972,0.03568,0.04085,0.02277,0.03525
1404,0.0544,8.0,2.0,AUNOX,0.01957,0.01886,0.03315,0.03731,0.04371,0.02277,0.04531
1405,0.055,8.0,2.0,AUNTX,0.0198,0.02007,0.0324,0.03753,0.04394,0.02277,0.04531
1406,0.0546,8.0,2.0,AUNYX,0.01966,0.01992,0.03316,0.03724,0.04468,0.02277,0.04572
1527,0.2141,8.0,7.0,BACAX,0.09299,0.19301,0.2615,-0.15866,0.16758,-0.24537,-0.29646
1528,0.2087,8.0,7.0,BACCX,0.09103,0.19182,0.25992,-0.16075,0.16384,-0.24537,-0.30186
1529,0.2161,8.0,7.0,BACIX,0.09418,0.19379,0.26235,-0.15751,0.16844,-0.24537,-0.29349
1555,-0.0028,17.0,3.0,BAGIX,0.0199,-0.0339,0.01071,0.01055,0.04788,0.07522,0.0863
1557,-0.0049,17.0,3.0,BAGSX,0.01855,-0.03408,0.01051,0.00956,0.04729,0.07522,0.08417
1563,0.1016,16.0,3.0,BALCX,0.05214,0.03549,0.07465,0.03927,0.11724,0.11719,0.10051
1564,0.106,16.0,3.0,BALFX,0.05424,0.03729,0.07637,0.04125,0.11874,0.11719,0.10816
1566,0.0074,11.0,2.0,BALPX,0.01765,0.00627,0.03796,0.01935,0.05663,0.06689,0.06032
1574,0.201,3.0,2.0,BARDX,0.09271,0.05882,0.13246,0.02097,0.10531,-0.05428,-0.08484
1575,0.2881,6.0,2.0,BAREX,0.1242,0.09745,0.10903,0.01401,0.11927,-0.04488,-0.04427
1584,0.169,4.0,1.0,BASMX,0.08201,0.06288,0.1459,0.09195,0.218,0.15827,0.20494
1586,0.0258,5.0,0.0,BATAX,0.01365,0.00695,0.01519,0.02695,0.08556,0.03809,0.02985
1599,0.0049,5.0,0.0,BBCPX,0.02087,-0.02578,0.02082,0.01632,0.05691,0.08056,0.09544
1652,0.004,11.0,2.0,BCLPX,0.0152,0.0047,0.03528,0.01762,0.05436,0.06689,0.05226
